cast,crew,id
"[{'cast_id': 1, 'character': 'Ben Sanderson', 'credit_id': '52fe4245c3a36847f801117b', 'gender': 2, 'id': 2963, 'name': 'Nicolas Cage', 'order': 0, 'profile_path': '/ti2h1OS1n1VwoJHWFaJD8dMZuEE.jpg'}, {'cast_id': 2, 'character': 'Sera', 'credit_id': '52fe4245c3a36847f801117f', 'gender': 1, 'id': 1951, 'name': 'Elisabeth Shue', 'order': 1, 'profile_path': '/44AaIXkbZFkdhSW1kRdzCbfYk6c.jpg'}, {'cast_id': 3, 'character': 'Yuri', 'credit_id': '52fe4245c3a36847f8011183', 'gender': 2, 'id': 6104, 'name': 'Julian Sands', 'order': 2, 'profile_path': '/hDb4UlbeTvvVK53Cmh7W0Ijo41h.jpg'}]","[{'credit_id': '52fe4245c3a36847f80111a5', 'department': 'Directing', 'gender': 2, 'id': 6111, 'job': 'Director', 'name': 'Mike Figgis', 'profile_path': '/nIaxYZkNX6j70VQyHwzed1QxOXD.jpg'}]",451
"[{'cast_id': 24, 'character': 'One', 'credit_id': '52fe428ac3a36847f8026cdf', 'gender': 2, 'id': 2372, 'name': 'Ron Perlman', 'order': 0, 'profile_path': '/xZyrXT2iEmSOokQRc1hedmxrbTi.jpg'}, {'cast_id': 25, 'character': 'Scaphandrier / Les Clones', 'credit_id': '52fe428ac3a36847f8026ce3', 'gender': 2, 'id': 2413, 'name': 'Dominique Pinon', 'order': 1, 'profile_path': '/uXS9jinsWVT1ZWAz8rj9ifCy9qS.jpg'}, {'cast_id': 26, 'character': 'Miette', 'credit_id': '52fe428ac3a36847f8026ce7', 'gender': 0, 'id': 13842, 'name': 'Judith Vittet', 'order': 2, 'profile_path': '/8jBxds9PU80J8aJhoNpDksbzUXU.jpg'}]","[{'credit_id': '52fe428ac3a36847f8026c6f', 'department': 'Directing', 'gender': 2, 'id': 2419, 'job': 'Director', 'name': 'Jean-Pierre Jeunet', 'profile_path': '/u3QmPbF9gdTTLsAHS97ic93gg6S.jpg'}]",902
"[{'cast_id': 41, 'character': 'James Cole', 'credit_id': '52fe4212c3a36847f8001b31', 'gender': 2, 'id': 62, 'name': 'Bruce Willis', 'order': 0, 'profile_path': '/2B7RySy2WMVJKKEFN2XA3IFb8w0.jpg'}, {'cast_id': 42, 'character': 'Dr. Kathryn Railly', 'credit_id': '52fe4212c3a36847f8001b35', 'gender': 1, 'id': 289, 'name': 'Madeleine Stowe', 'order': 1, 'profile_path': '/jqd70MNVUs3nTbxn3B3G6UNV4Oc.jpg'}, {'cast_id': 43, 'character': 'Jeffrey Goines', 'credit_id': '52fe4212c3a36847f8001b39', 'gender': 2, 'id': 287, 'name': 'Brad Pitt', 'order': 2, 'profile_path': '/ejYIW1enUcGJ9GS3Bs34mtONwWS.jpg'}]","[{'credit_id': '52fe4212c3a36847f8001ac7', 'department': 'Directing', 'gender': 2, 'id': 280, 'job': 'Director', 'name': 'Terry Gilliam', 'profile_path': '/cFno5isSPvfPEkSdVoEzOs0pJCh.jpg'}]",63
"[{'cast_id': 7, 'character': 'Sister Helen Prejean', 'credit_id': '52fe426ac3a36847f801cf0f', 'gender': 1, 'id': 4038, 'name': 'Susan Sarandon', 'order': 0, 'profile_path': '/giqZPokZi2nKLtYw8hrMVf8Vita.jpg'}, {'cast_id': 8, 'character': 'Matthew Poncelet', 'credit_id': '52fe426ac3a36847f801cf13', 'gender': 2, 'id': 2228, 'name': 'Sean Penn', 'order': 1, 'profile_path': '/f2uy1zq0qmtLBpsr6N9uQ8FktOr.jpg'}, {'cast_id': 9, 'character': 'Hilton Barber', 'credit_id': '52fe426ac3a36847f801cf17', 'gender': 2, 'id': 10360, 'name': 'Robert Prosky', 'order': 2, 'profile_path': '/9xpt96AOur6MmLIEaYhRiCQLIOE.jpg'}]","[{'credit_id': '52fe426ac3a36847f801ceed', 'department': 'Directing', 'gender': 2, 'id': 504, 'job': 'Director', 'name': 'Tim Robbins', 'profile_path': '/7pirFsBQe93TSfzu404Hgcj1YWj.jpg'}]",687
"[{'cast_id': 4, 'character': 'Suzanne Stone Maretto', 'credit_id': '52fe4255c3a36847f8015f59', 'gender': 1, 'id': 2227, 'name': 'Nicole Kidman', 'order': 0, 'profile_path': '/1ammEgq5D6qw5mM4WkgUmnxQ7Uy.jpg'}, {'cast_id': 5, 'character': 'Larry Maretto', 'credit_id': '52fe4255c3a36847f8015f5d', 'gender': 2, 'id': 2876, 'name': 'Matt Dillon', 'order': 1, 'profile_path': '/svj4JJmblkNUt9pSrchJEzx4VR3.jpg'}, {'cast_id': 6, 'character': 'Jimmy Emmett', 'credit_id': '52fe4255c3a36847f8015f61', 'gender': 2, 'id': 73421, 'name': 'Joaquin Phoenix', 'order': 2, 'profile_path': '/fGXFFv7owELL4wCFn2OsFAgOiO3.jpg'}]","[{'credit_id': '52fe4255c3a36847f8015f49', 'department': 'Directing', 'gender': 2, 'id': 5216, 'job': 'Director', 'name': 'Gus Van Sant', 'profile_path': '/2WsDgxPivXtPHtsXK5QZ8U7zYEb.jpg'}]",577
"[{'cast_id': 17, 'character': 'Detective David Mills', 'credit_id': '52fe4279c3a36847f802178b', 'gender': 2, 'id': 287, 'name': 'Brad Pitt', 'order': 0, 'profile_path': '/ejYIW1enUcGJ9GS3Bs34mtONwWS.jpg'}, {'cast_id': 18, 'character': 'Detective Lt. William Somerset', 'credit_id': '52fe4279c3a36847f802178f', 'gender': 2, 'id': 192, 'name': 'Morgan Freeman', 'order': 1, 'profile_path': '/oGJQhOpT8S1M56tvSsbEBePV5O1.jpg'}, {'cast_id': 19, 'character': 'Tracy Mills', 'credit_id': '52fe4279c3a36847f8021793', 'gender': 1, 'id': 12052, 'name': 'Gwyneth Paltrow', 'order': 2, 'profile_path': '/uSidH77gLyon3Zpg6y1GxpKJMdZ.jpg'}]","[{'credit_id': '52fe4279c3a36847f80217bf', 'department': 'Directing', 'gender': 2, 'id': 7467, 'job': 'Director', 'name': 'David Fincher', 'profile_path': '/dcBHejOsKvzVZVozWJAPzYthb8X.jpg'}]",807
"[{'cast_id': 1, 'character': 'Camille Baker', 'credit_id': '52fe44a4c3a36847f80a1e49', 'gender': 0, 'id': 54818, 'name': 'Pascale Bussières', 'order': 0, 'profile_path': '/vbfCShcj8n0eUOoKRCAGNh1auFY.jpg'}, {'cast_id': 2, 'character': 'Petra', 'credit_id': '52fe44a4c3a36847f80a1e4d', 'gender': 1, 'id': 54819, 'name': 'Rachael Crawford', 'order': 1, 'profile_path': '/jM6bUiUh6cEaKs53Ytp2alcwlFy.jpg'}, {'cast_id': 11, 'character': 'Martin', 'credit_id': '52fe44a5c3a36847f80a1e81', 'gender': 2, 'id': 15319, 'name': 'Henry Czerny', 'order': 2, 'profile_path': '/vlUuasZW9mIrcnvp6IIEs1B43hT.jpg'}]","[{'credit_id': '52fe44a4c3a36847f80a1e53', 'department': 'Directing', 'gender': 1, 'id': 55439, 'job': 'Director', 'name': 'Patricia Rozema', 'profile_path': '/s1lW8HDclRDEgOWrETAJ5eSGKda.jpg'}]",8391
"[{'cast_id': 19, 'character': 'Michael McManus', 'credit_id': '52fe4260c3a36847f8019ae7', 'gender': 2, 'id': 9045, 'name': 'Stephen Baldwin', 'order': 0, 'profile_path': '/w2nZjBsEsjboQDZJXEkysuGgue4.jpg'}, {'cast_id': 20, 'character': 'Dean Keaton', 'credit_id': '52fe4260c3a36847f8019aeb', 'gender': 2, 'id': 5168, 'name': 'Gabriel Byrne', 'order': 1, 'profile_path': '/lFIH4De52Eg21m7pScPMXezZDUh.jpg'}, {'cast_id': 24, 'character': 'US Customs Agent Dave Kujan', 'credit_id': '52fe4260c3a36847f8019afb', 'gender': 2, 'id': 9046, 'name': 'Chazz Palminteri', 'order': 2, 'profile_path': '/57fiwGZBohA7qytoXOUJtSNVksT.jpg'}]","[{'credit_id': '52fe4260c3a36847f8019a7d', 'department': 'Directing', 'gender': 2, 'id': 9032, 'job': 'Director', 'name': 'Bryan Singer', 'profile_path': '/to8mWJabPoWkphkbYKoutCVSj06.jpg'}]",629
"[{'cast_id': 10, 'character': 'Glenn Holland', 'credit_id': '52fe4330c3a36847f8041151', 'gender': 2, 'id': 3037, 'name': 'Richard Dreyfuss', 'order': 0, 'profile_path': '/7JPMhXnfY5jgPbtByutwkHHZS3M.jpg'}, {'cast_id': 11, 'character': 'Iris Holland', 'credit_id': '52fe4330c3a36847f8041155', 'gender': 1, 'id': 21104, 'name': 'Glenne Headly', 'order': 1, 'profile_path': '/9SQLk39MM1DildLbu9A7CLBd3Xo.jpg'}, {'cast_id': 12, 'character': 'Bill Meister', 'credit_id': '52fe4330c3a36847f8041159', 'gender': 2, 'id': 21105, 'name': 'Jay Thomas', 'order': 2, 'profile_path': '/uA6okci70tAGTHeuC1JQQjrlKir.jpg'}]","[{'credit_id': '52fe4330c3a36847f804111d', 'department': 'Directing', 'gender': 2, 'id': 18356, 'job': 'Director', 'name': 'Stephen Herek', 'profile_path': '/wFMntUA59jIeLITlk5pYp2boZzB.jpg'}]",2054
"[{'cast_id': 4, 'character': 'Loli', 'credit_id': '52fe43c5c3a36847f806e5bf', 'gender': 1, 'id': 25256, 'name': 'Victoria Abril', 'order': 0, 'profile_path': '/qVszystVNlXomQQrhM9u3joaw9P.jpg'}, {'cast_id': 5, 'character': 'Marijo', 'credit_id': '52fe43c5c3a36847f806e5c3', 'gender': 1, 'id': 35137, 'name': 'Josiane Balasko', 'order': 1, 'profile_path': '/ijdGcyrROO1bddXh6nNx4WcZcWb.jpg'}, {'cast_id': 6, 'character': 'Laurent Lafaye', 'credit_id': '52fe43c5c3a36847f806e5c7', 'gender': 2, 'id': 4275, 'name': 'Alain Chabat', 'order': 2, 'profile_path': '/zR39m8iQ2OWn753WLwQ3oiH1qRc.jpg'}]","[{'credit_id': '52fe43c5c3a36847f806e5af', 'department': 'Directing', 'gender': 1, 'id': 35137, 'job': 'Director', 'name': 'Josiane Balasko', 'profile_path': '/ijdGcyrROO1bddXh6nNx4WcZcWb.jpg'}]",4482
"[{'cast_id': 1, 'character': 'Seth Gecko', 'credit_id': '52fe4271c3a36847f801f1ef', 'gender': 2, 'id': 1461, 'name': 'George Clooney', 'order': 0, 'profile_path': '/esyiULfB7kSrhgzBkLamjsTTKEg.jpg'}, {'cast_id': 2, 'character': 'Richard Gecko', 'credit_id': '52fe4271c3a36847f801f1f3', 'gender': 2, 'id': 138, 'name': 'Quentin Tarantino', 'order': 1, 'profile_path': '/9ci4NBvHXJktxjALdJsrtasqgtV.jpg'}, {'cast_id': 3, 'character': 'Jacob Fuller', 'credit_id': '52fe4271c3a36847f801f1f7', 'gender': 2, 'id': 1037, 'name': 'Harvey Keitel', 'order': 2, 'profile_path': '/4IcHhp1SCKijRxb7kqnxZNJuKdn.jpg'}]","[{'credit_id': '52fe4271c3a36847f801f22d', 'department': 'Directing', 'gender': 2, 'id': 2294, 'job': 'Director', 'name': 'Robert Rodriguez', 'profile_path': '/bPqRdLWWwpOT8sBdj9PWOzNgwou.jpg'}]",755
"[{'cast_id': 3, 'character': ""Jimmy 'The Saint' Tosnia"", 'credit_id': '52fe423ec3a36847f800f323', 'gender': 2, 'id': 1271, 'name': 'Andy García', 'order': 0, 'profile_path': '/zE3KYH6f6cxCehJJYKDTQa8sCaK.jpg'}, {'cast_id': 4, 'character': 'Pieces', 'credit_id': '52fe423ec3a36847f800f327', 'gender': 2, 'id': 1062, 'name': 'Christopher Lloyd', 'order': 1, 'profile_path': '/iQzG9apaIsHnn7iGrer3YEDp8Zo.jpg'}, {'cast_id': 5, 'character': 'Franchise', 'credit_id': '52fe423ec3a36847f800f32b', 'gender': 2, 'id': 4520, 'name': 'William Forsythe', 'order': 2, 'profile_path': '/3oaz2y7hIm3r3OyDKvQ1i2D8cLR.jpg'}]","[{'credit_id': '52fe423ec3a36847f800f319', 'department': 'Directing', 'gender': 2, 'id': 5501, 'job': 'Director', 'name': 'Gary Fleder', 'profile_path': '/fKPxO8iWMuWYQ8sXeH1BPfQzqxm.jpg'}]",400
"[{'cast_id': 11, 'character': 'Antonia', 'credit_id': '52fe4286c3a36847f8025d09', 'gender': 1, 'id': 13506, 'name': 'Willeke van Ammelrooy', 'order': 0, 'profile_path': '/l3q5vBixKV4LrJWaRdnXQ2Rc3PW.jpg'}, {'cast_id': 12, 'character': 'Danielle', 'credit_id': '52fe4286c3a36847f8025d0d', 'gender': 0, 'id': 13507, 'name': 'Els Dottermans', 'order': 1, 'profile_path': '/jl9IlMLp4jdi5SNrf4ujHF0lovq.jpg'}, {'cast_id': 13, 'character': 'Allegonde', 'credit_id': '52fe4286c3a36847f8025d11', 'gender': 0, 'id': 13508, 'name': 'Dora van der Groen', 'order': 2, 'profile_path': None}]","[{'credit_id': '52fe4286c3a36847f8025ccf', 'department': 'Directing', 'gender': 0, 'id': 13496, 'job': 'Director', 'name': 'Marleen Gorris', 'profile_path': '/sSVUF5IE4nF4CCLzkwCfRmQz1Ws.jpg'}]",880
"[{'cast_id': 1, 'character': 'William Adamson', 'credit_id': '52fe44aac3a36847f80a3261', 'gender': 2, 'id': 40900, 'name': 'Mark Rylance', 'order': 0, 'profile_path': '/5XrQYvdYqiGUepbgmRQfOltgBRJ.jpg'}, {'cast_id': 2, 'character': 'Matty Crompton', 'credit_id': '52fe44aac3a36847f80a3265', 'gender': 1, 'id': 5470, 'name': 'Kristin Scott Thomas', 'order': 1, 'profile_path': '/9zBXGGcUBi7DnulKcFPCAdwrKY0.jpg'}, {'cast_id': 3, 'character': 'Eugenia Alabaster Adamson', 'credit_id': '52fe44aac3a36847f80a3269', 'gender': 1, 'id': 14326, 'name': 'Patsy Kensit', 'order': 2, 'profile_path': '/fp8059ZLrCiZFgdhcwHTHHe6kBr.jpg'}]","[{'credit_id': '52fe44aac3a36847f80a3273', 'department': 'Directing', 'gender': 0, 'id': 55038, 'job': 'Director', 'name': 'Philip Haas', 'profile_path': None}]",8447
"[{'cast_id': 11, 'character': 'Gene Watson', 'credit_id': '52fe4334c3a36847f80421dd', 'gender': 2, 'id': 85, 'name': 'Johnny Depp', 'order': 0, 'profile_path': '/kbWValANhZI8rbWZXximXuMN4UN.jpg'}, {'cast_id': 12, 'character': 'Lynn Watson', 'credit_id': '52fe4334c3a36847f80421e1', 'gender': 1, 'id': 21365, 'name': 'Courtney Chase', 'order': 1, 'profile_path': '/pFnq6LRYWjUCTZ8HjGC3uwUOBB0.jpg'}, {'cast_id': 13, 'character': 'Hucy', 'credit_id': '52fe4334c3a36847f80421e5', 'gender': 2, 'id': 17764, 'name': 'Charles S. Dutton', 'order': 2, 'profile_path': '/ajXBoMz8xGgDDcn8xpRi8LmXKKa.jpg'}]","[{'credit_id': '52fe4333c3a36847f80421a3', 'department': 'Directing', 'gender': 2, 'id': 12840, 'job': 'Director', 'name': 'John Badham', 'profile_path': '/vWzb3cQz4qYtfXQ6qyCrSTw61xA.jpg'}]",2086
"[{'cast_id': 2, 'character': 'Vinz', 'credit_id': '52fe423fc3a36847f800f88f', 'gender': 2, 'id': 1925, 'name': 'Vincent Cassel', 'order': 0, 'profile_path': '/yTTyX7xziiMibm0nzcH5z6xxLLv.jpg'}, {'cast_id': 3, 'character': 'Hubert', 'credit_id': '52fe423fc3a36847f800f893', 'gender': 2, 'id': 5418, 'name': 'Hubert Koundé', 'order': 1, 'profile_path': '/rVgtZ1d6bbbaMFcGVujZEznqQNo.jpg'}, {'cast_id': 4, 'character': 'Saïd', 'credit_id': '52fe423fc3a36847f800f897', 'gender': 0, 'id': 5419, 'name': 'Saïd Taghmaoui', 'order': 2, 'profile_path': '/bOh3ZQ64WiGivN6GJrrO8vrw9wU.jpg'}]","[{'credit_id': '52fe423fc3a36847f800f88b', 'department': 'Directing', 'gender': 2, 'id': 2406, 'job': 'Director', 'name': 'Mathieu Kassovitz', 'profile_path': '/h0LpOBDRawf5pSiVqlHOuoI2ain.jpg'}]",406
"[{'cast_id': 9, 'character': 'Dr. David Krane', 'credit_id': '52fe432fc3a36847f8040e4b', 'gender': 2, 'id': 11477, 'name': 'Ray Liotta', 'order': 0, 'profile_path': '/o4jJSH3sri9dSIJwsCgT4de1535.jpg'}, {'cast_id': 17, 'character': 'Dr. Martha Briggs', 'credit_id': '52fe432fc3a36847f8040e6b', 'gender': 1, 'id': 9625, 'name': 'Linda Fiorentino', 'order': 1, 'profile_path': '/aKadq5uC9CjCKtkMYPYECNcGz3s.jpg'}, {'cast_id': 10, 'character': 'Don Bresler', 'credit_id': '52fe432fc3a36847f8040e4f', 'gender': 2, 'id': 9979, 'name': 'Peter Coyote', 'order': 2, 'profile_path': '/5zVvYZxE6T0OeL1iaFBBCzY3QOi.jpg'}]","[{'credit_id': '52fe432fc3a36847f8040e23', 'department': 'Directing', 'gender': 2, 'id': 21053, 'job': 'Director', 'name': 'John Dahl', 'profile_path': '/klMxcB64Tu0sWCn3YDTMcGWPArQ.jpg'}]",2045
