genres,id,title
"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",178,Blown Away
"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",4722,Body Snatchers
"[{'id': 35, 'name': 'Comedy'}]",26391,Cabin Boy
"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",117553,Calendar Girl
"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",6075,Carlito's Way
"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]",2124,Color of Night
"[{'id': 18, 'name': 'Drama'}]",49299,Dangerous Game
"[{'id': 35, 'name': 'Comedy'}]",26141,Fatal Instinct
"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]",5503,The Fugitive
"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",2087,The Getaway
"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",4916,Guilty as Sin
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",2019,Hard Target
"[{'id': 35, 'name': 'Comedy'}]",26271,Live Nude Girls
"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",2259,The House of the Spirits
"[{'id': 18, 'name': 'Drama'}]",7984,In the Name of the Father
"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",6,Judgment Night
"[{'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",329,Jurassic Park
"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",507,Killing Zoe
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1413,M. Butterfly
"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",2246,Malice
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",2320,Executive Decision
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",5879,In the Realm of the Senses
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",2625,Mr. Jones
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",788,Mrs. Doubtfire
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",713,The Piano
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",8291,Poetic Justice
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1245,The Remains of the Day
"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",7007,Rising Sun
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",5550,RoboCop 3
"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",2088,Romeo Is Bleeding
"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",424,Schindler's List
"[{'id': 18, 'name': 'Drama'}]",103413,Second Best
"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",8850,The Shadow
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",695,Short Cuts
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",858,Sleepless in Seattle
"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",867,Sliver
"[{'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",78,Blade Runner
"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 10749, 'name': 'Romance'}]",319,True Romance
"[{'id': 36, 'name': 'History'}, {'id': 99, 'name': 'Documentary'}]",32562,The Celluloid Closet
"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",124304,I Don't Want to Talk About It
"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",771,Home Alone
"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]",251,Ghost
"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]",812,Aladdin
"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",280,Terminator 2: Judgment Day
"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}]",581,Dances with Wolves
"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",80350,Tough and Deadly
"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",268,Batman
"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",274,The Silence of the Lambs
"[{'id': 14, 'name': 'Fantasy'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",408,Snow White and the Seven Dwarfs
"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",114,Pretty Woman
"[{'id': 12, 'name': 'Adventure'}, {'id': 37, 'name': 'Western'}]",576,The Wild Bunch
[],124472,A Great Day in Harlem
"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",7300,One Fine Day
"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",275,Fargo
"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",8766,Hellraiser: Bloodline
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",4307,The Flower of My Secret
"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",1592,Primal Fear
"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}, {'id': 10749, 'name': 'Romance'}]",38884,Land and Freedom
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",2021,Jack & Sarah
"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",954,Mission: Impossible
"[{'id': 14, 'name': 'Fantasy'}]",8840,DragonHeart
"[{'id': 18, 'name': 'Drama'}]",124625,My Mother's Courage
"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",161070,August
"[{'id': 18, 'name': 'Drama'}]",5801,Pather Panchali
"[{'id': 18, 'name': 'Drama'}]",896,The World of Apu
"[{'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",3065,Mystery Science Theater 3000: The Movie
"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",2300,Space Jam
"[{'id': 878, 'name': 'Science Fiction'}]",8069,Barbarella
"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",27768,Some Folks Call It a Sling Blade
"[{'id': 18, 'name': 'Drama'}]",33245,It's My Party
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",38867,Delta of Venus
"[{'id': 18, 'name': 'Drama'}]",753,Faces
"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",8866,The Truth About Cats & Dogs
"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 37, 'name': 'Western'}]",922,Dead Man
"[{'id': 99, 'name': 'Documentary'}]",73183,"The Haunted World of Edward D. Wood, Jr."
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",664,Twister
"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}]",532,A Close Shave
"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",26744,Force of Evil
"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10752, 'name': 'War'}]",935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]",7095,Jack
"[{'id': 18, 'name': 'Drama'}]",124633,Someone Else's America
"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",627,Trainspotting
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",602,Independence Day
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]",81949,An Unforgettable Summer
[],124306,My Life and Times With Antonin Artaud
"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",1645,A Time to Kill
"[{'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}]",34170,Larger Than Life
"[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}]",124645,Two Deaths
"[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}]",151489,Hedd Wyn
"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",4837,La Collectionneuse
"[{'id': 35, 'name': 'Comedy'}]",2925,The First Wives Club
"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",3595,Ransom
"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",3573,Emma
"[{'id': 18, 'name': 'Drama'}]",124619,Lotto Land
"[{'id': 18, 'name': 'Drama'}]",144982,The Big Squeeze
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",47907,The Spitfire Grill
"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",549,Basquiat
[],145925,Mille bolle blu
"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",238,The Godfather
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",159,Maybe... Maybe Not
"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",88224,Manny & Lo
"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",58770,The Trigger Effect
[],124851,Sweet Nothing
"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",3587,Bogus
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",26933,Wild Reeds
"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",981,The Philadelphia Story
"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",872,Singin' in the Rain
"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",2769,An American in Paris
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",164,Breakfast at Tiffany's
"[{'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]",426,Vertigo
